train_number,train_name,from_station,to_station,current_delay,delay_trend,accumulated_delay,segment_distance_km,current_speed_kmh,hist_avg_travel_time_min,hist_median_travel_time_min,scheduled_dwell_min,num_intermediate_stations,track_congestion_index,weather_impact_factor,hour_of_day,day_of_week,is_weekend,is_peak_hour,scheduled_segment_time_min,actual_dwell_min,actual_segment_travel_time_min,delay_increment_min
12626,Kerala Express,MAS,SBC,14,0.0,24,360,81.9,264,265,3,12,0.64,0.61,8,6,1,1,254,3.4,277.5,23.9
12702,Telangana Express,NGP,BPL,0,0.0,0,390,61.9,347,345,5,14,0.3,0.56,17,0,0,1,342,6.3,371.8,31.1
12951,Mumbai Rajdhani,RTM,KTA,15,-0.5,11,266,95.2,189,190,8,7,0.69,0.69,12,6,1,0,178,11.5,196.6,22.1
12951,Mumbai Rajdhani,MMCT,ST,46,-0.5,58,263,87.3,206,207,8,7,0.56,0.48,13,4,0,0,201,8.7,222.8,22.5
12702,Telangana Express,NGP,BPL,43,2.5,45,390,88.8,280,282,8,14,0.5,0.1,12,5,1,0,269,8.0,293.9,24.9
12701,Rajdhani Express,KZJ,SC,27,0.0,24,130,86.1,93,93,2,5,0.42,0.17,14,1,0,0,86,3.5,94.9,10.4
12951,Mumbai Rajdhani,BRC,RTM,0,2.5,0,260,94.9,157,155,8,7,0.95,0.28,0,5,1,0,145,13.9,166.9,27.8
12701,Rajdhani Express,NDLS,AGC,3,0.0,10,195,64.9,164,164,2,7,0.91,0.37,15,5,1,0,158,5.5,188.9,34.4
12626,Kerala Express,AGC,VGLJ,35,1.0,32,215,87.5,132,130,5,6,0.91,0.32,9,4,0,1,127,9.5,151.2,28.7
12702,Telangana Express,SC,KZJ,0,2.5,11,130,104.7,81,83,10,5,0.55,0.53,18,6,1,1,78,10.1,95.1,17.2
12759,Charminar Express,HYB,SC,0,-0.5,4,10,96.1,18,18,2,1,0.25,0.42,14,5,1,0,6,3.9,21.0,16.9
12626,Kerala Express,SBC,ERS,15,-0.5,15,580,90.9,422,425,10,14,0.31,0.37,2,2,0,0,411,12.4,424.3,15.7
12951,Mumbai Rajdhani,BRC,RTM,3,1.0,2,260,77.5,189,187,5,8,0.61,0.7,8,2,0,1,179,6.8,208.7,31.5
12626,Kerala Express,BPL,NGP,15,0.0,20,390,79.8,311,311,8,10,0.52,0.63,22,3,0,0,308,8.1,334.6,26.7
12702,Telangana Express,VGLJ,AGC,2,-0.5,4,215,74.8,179,179,10,5,0.57,0.28,11,3,0,0,170,11.7,188.8,20.5
12759,Charminar Express,KZJ,BZA,36,0.0,37,210,74.0,190,192,3,7,0.73,0.22,22,1,0,0,179,9.4,205.4,32.8
12701,Rajdhani Express,BPL,NGP,11,0.0,12,390,77.9,315,318,3,15,0.15,0.23,4,2,0,0,311,3.0,330.9,19.9
12951,Mumbai Rajdhani,MMCT,ST,2,-1.5,7,263,84.4,182,183,8,6,0.51,0.66,1,2,0,0,174,9.9,189.8,17.7
12701,Rajdhani Express,NDLS,AGC,47,5.0,61,195,58.8,174,173,10,5,0.45,0.48,7,0,0,1,163,12.3,199.4,38.7
12626,Kerala Express,MAS,SBC,0,2.5,12,360,115.6,209,212,5,10,0.62,0.59,9,4,0,1,204,6.1,219.2,16.3
12702,Telangana Express,NGP,BPL,56,2.5,54,390,55.5,346,346,3,11,0.6,0.23,0,3,0,0,341,3.0,391.4,50.4
12759,Charminar Express,NLR,MAS,30,0.0,43,175,72.9,164,163,3,5,0.89,0.34,20,4,0,1,154,6.1,183.2,32.3
12759,Charminar Express,SC,KZJ,46,0.0,53,130,73.3,121,123,5,5,0.69,0.56,9,3,0,1,115,6.4,140.6,27.0
12626,Kerala Express,SBC,ERS,13,5.0,26,580,72.0,518,520,2,23,0.29,0.54,19,2,0,1,507,2.0,546.6,39.6
12701,Rajdhani Express,NGP,BPQ,34,1.0,38,210,68.1,192,193,3,5,0.47,0.65,8,1,0,1,189,5.8,223.4,37.2
12759,Charminar Express,BZA,OGL,4,-0.5,16,140,72.7,116,114,2,5,0.9,0.65,22,3,0,0,106,6.6,134.6,33.2
12759,Charminar Express,KZJ,BZA,32,2.5,44,210,75.8,189,189,8,5,0.49,0.04,0,5,1,0,179,15.0,202.1,30.1
12626,Kerala Express,SBC,ERS,25,0.0,24,580,83.6,422,424,2,14,0.51,0.02,9,3,0,1,410,4.2,436.3,28.5
12702,Telangana Express,KZJ,BPQ,36,0.0,39,235,80.4,163,165,10,5,0.65,0.12,3,3,0,0,157,10.8,176.6,20.4
12759,Charminar Express,BZA,OGL,12,-1.5,16,140,97.7,83,84,3,4,0.85,0.69,6,4,0,0,77,5.3,107.1,32.4
12626,Kerala Express,NGP,BZA,2,0.0,14,100,77.2,84,86,5,2,0.48,0.39,21,3,0,0,77,7.8,90.5,16.3
12626,Kerala Express,MAS,SBC,0,0.0,15,360,97.9,211,214,3,9,0.45,0.25,12,1,0,0,202,5.2,210.0,10.2
12951,Mumbai Rajdhani,RTM,KTA,14,-1.5,19,266,86.6,162,164,3,8,0.19,0.68,16,4,0,0,159,3.2,175.2,16.4
12951,Mumbai Rajdhani,MMCT,ST,10,0.0,6,263,76.0,228,231,3,7,0.44,0.06,8,2,0,1,221,4.5,231.0,11.5
12626,Kerala Express,MAS,SBC,25,-0.5,37,360,79.1,235,236,8,10,0.88,0.8,2,1,0,0,232,12.9,264.9,37.8
12701,Rajdhani Express,SC,HYB,0,5.0,0,10,101.1,17,20,2,1,0.22,0.42,9,2,0,1,6,4.5,20.1,16.6
12702,Telangana Express,KZJ,BPQ,5,-0.5,12,235,59.6,218,216,8,8,0.64,0.37,18,1,0,1,206,8.2,234.7,28.9
12951,Mumbai Rajdhani,BRC,RTM,10,1.0,14,260,83.2,180,179,2,7,0.46,0.2,18,2,0,1,174,4.6,186.4,15.0
12951,Mumbai Rajdhani,RTM,KTA,52,1.0,54,266,68.1,213,215,10,10,0.81,0.32,22,2,0,0,211,16.4,255.5,50.9
12701,Rajdhani Express,SC,HYB,6,-0.5,13,10,93.7,18,21,3,1,0.68,0.58,20,1,0,1,6,3.1,28.2,22.3
12702,Telangana Express,SC,KZJ,0,-0.5,11,130,79.9,91,90,5,5,0.87,0.26,11,5,1,0,83,9.4,103.6,25.0
12626,Kerala Express,BZA,MAS,8,-1.5,20,430,79.0,304,302,5,14,0.84,0.64,15,6,1,0,295,6.9,315.4,22.3
12702,Telangana Express,VGLJ,AGC,0,0.0,0,215,79.9,170,170,8,6,0.67,0.47,14,2,0,0,158,8.0,184.8,26.8
12701,Rajdhani Express,BPL,NGP,14,-1.5,16,390,66.4,366,367,10,10,0.49,0.56,20,0,0,1,354,10.0,393.8,39.8
12701,Rajdhani Express,VGLJ,BPL,9,2.5,24,290,95.5,172,173,5,10,0.49,0.54,7,4,0,1,162,6.9,177.1,17.0
12626,Kerala Express,VGLJ,BPL,0,0.0,7,290,102.9,189,189,8,7,0.28,0.36,8,0,0,1,184,8.6,191.9,8.5
12701,Rajdhani Express,BPQ,KZJ,47,0.0,43,235,97.5,146,148,5,6,0.18,0.17,3,6,1,0,134,5.0,152.0,18.0
12701,Rajdhani Express,NDLS,AGC,7,0.0,18,195,66.1,158,160,3,5,0.79,0.19,17,1,0,1,154,6.6,178.7,28.3
12702,Telangana Express,KZJ,BPQ,54,2.5,51,235,82.9,187,186,3,7,0.77,0.47,4,0,0,0,185,5.5,218.1,35.6
12702,Telangana Express,VGLJ,AGC,0,0.0,5,215,74.6,186,189,2,8,0.53,0.76,16,4,0,0,184,4.5,206.3,24.8
12626,Kerala Express,NGP,BZA,0,0.0,0,217,90.9,142,140,2,6,0.52,0.73,12,3,0,0,139,3.7,160.9,23.6
12759,Charminar Express,OGL,NLR,20,1.0,27,115,67.6,112,114,5,4,0.61,0.24,22,2,0,0,102,5.4,120.4,18.8
12951,Mumbai Rajdhani,MMCT,ST,21,1.0,30,263,60.5,228,228,10,8,0.8,0.32,14,1,0,0,225,14.0,261.9,40.9
12759,Charminar Express,KZJ,BZA,4,1.0,0,210,101.7,141,139,8,8,0.73,0.65,2,3,0,0,131,11.9,152.7,25.6
12626,Kerala Express,BZA,MAS,31,0.0,43,430,79.0,372,372,5,10,0.14,0.23,13,6,1,0,366,7.4,389.8,26.2
12701,Rajdhani Express,BPL,NGP,0,2.5,12,390,88.3,255,257,3,14,0.34,0.18,17,2,0,1,247,4.2,266.0,20.2
12626,Kerala Express,NDLS,AGC,3,2.5,0,195,98.6,122,123,5,6,0.25,0.11,9,2,0,1,110,6.0,118.9,9.9
12701,Rajdhani Express,VGLJ,BPL,50,0.0,47,290,91.8,193,195,2,9,0.23,0.25,12,3,0,0,186,6.3,199.7,18.0
12626,Kerala Express,AGC,VGLJ,2,0.0,0,215,59.0,184,186,10,6,0.62,0.33,14,5,1,0,179,12.4,211.5,34.9
12701,Rajdhani Express,BPQ,KZJ,24,1.0,29,235,71.7,207,206,10,7,0.61,0.01,1,1,0,0,201,10.0,223.9,22.9
12702,Telangana Express,NGP,BPL,0,0.0,5,390,75.5,305,305,2,11,0.3,0.45,4,3,0,0,293,3.0,318.9,26.9
12701,Rajdhani Express,KZJ,SC,4,-0.5,8,130,53.9,123,121,2,4,0.44,0.51,10,4,0,0,117,2.4,142.5,25.9
12951,Mumbai Rajdhani,MMCT,ST,13,-0.5,17,263,75.0,225,227,10,8,0.19,0.35,11,0,0,0,217,10.4,235.2,18.6
12701,Rajdhani Express,KZJ,SC,0,1.0,2,130,87.8,86,86,3,5,0.53,0.72,16,5,1,0,79,4.5,96.6,19.1
12702,Telangana Express,BPQ,NGP,0,5.0,0,210,60.4,187,189,3,7,0.76,0.4,20,0,0,1,176,5.6,204.9,31.5
12626,Kerala Express,BZA,MAS,26,2.5,22,430,75.3,332,333,8,14,0.15,0.41,9,6,1,1,326,8.9,350.7,25.6
12951,Mumbai Rajdhani,MMCT,ST,23,0.0,20,263,88.2,195,196,5,7,0.43,0.46,2,4,0,0,193,6.0,214.9,22.9
12626,Kerala Express,BPL,NGP,0,0.0,0,390,78.8,264,267,10,9,0.39,0.57,3,6,1,0,254,10.8,277.1,23.9
12702,Telangana Express,HYB,SC,0,-0.5,5,10,97.1,18,20,8,1,0.43,0.62,11,2,0,0,6,8.0,20.6,14.6
12701,Rajdhani Express,BPQ,KZJ,21,0.0,30,235,71.9,184,182,10,6,0.87,0.7,23,6,1,0,177,14.8,210.4,38.2
12702,Telangana Express,BPL,VGLJ,2,2.5,0,290,111.3,164,167,8,8,0.65,0.26,2,2,0,0,160,9.2,173.0,14.2
12626,Kerala Express,AGC,VGLJ,0,0.0,2,215,89.2,140,139,10,7,0.75,0.15,5,1,0,0,136,13.6,151.7,19.3
12701,Rajdhani Express,NDLS,AGC,14,0.0,12,195,74.6,150,153,10,5,0.76,0.65,5,1,0,0,146,12.6,181.5,38.1
12951,Mumbai Rajdhani,BRC,RTM,12,2.5,19,260,101.2,169,168,8,7,0.36,0.65,14,1,0,0,160,8.0,184.4,24.4
12759,Charminar Express,NLR,MAS,2,-0.5,12,175,113.8,107,106,8,5,0.24,0.16,16,4,0,0,96,8.4,91.9,-3.7
12759,Charminar Express,HYB,SC,12,-1.5,18,10,74.2,16,18,5,1,0.17,0.13,16,6,1,0,7,9.0,13.3,10.3
12702,Telangana Express,VGLJ,AGC,3,1.0,14,215,114.7,123,123,3,8,0.53,0.19,0,3,0,0,120,4.9,125.6,7.5
12702,Telangana Express,HYB,SC,40,1.0,51,10,95.3,15,16,5,1,0.81,0.61,9,6,1,1,6,11.9,27.7,28.6
12701,Rajdhani Express,NDLS,AGC,45,2.5,51,195,77.9,159,158,3,7,0.34,0.24,16,3,0,0,157,3.5,183.4,26.9
12951,Mumbai Rajdhani,AGC,NDLS,75,-0.5,87,195,83.1,143,144,2,5,0.59,0.57,17,0,0,1,137,5.2,161.5,27.7
12701,Rajdhani Express,BPQ,KZJ,59,1.0,67,235,77.8,165,167,3,5,0.56,0.63,11,0,0,0,155,6.1,186.9,35.0
12701,Rajdhani Express,KZJ,SC,6,-0.5,21,130,58.3,128,126,8,3,0.39,0.59,0,2,0,0,116,9.3,138.7,24.0
12626,Kerala Express,BZA,MAS,22,2.5,24,430,68.1,389,387,10,10,0.51,0.15,21,3,0,0,385,12.1,418.3,35.4
12951,Mumbai Rajdhani,MMCT,ST,7,-0.5,20,263,67.0,215,218,3,8,0.79,0.38,9,4,0,1,213,7.0,243.5,34.5
12759,Charminar Express,HYB,SC,1,0.0,12,10,75.9,12,13,2,1,0.91,0.27,12,5,1,0,8,8.3,20.0,18.3
12759,Charminar Express,OGL,NLR,0,0.0,0,115,101.1,74,74,8,4,0.19,0.26,5,4,0,0,68,9.4,79.3,12.7
12951,Mumbai Rajdhani,KTA,AGC,9,2.5,11,468,70.2,336,334,8,10,0.33,0.78,11,4,0,0,334,11.8,378.7,48.5
12951,Mumbai Rajdhani,BRC,RTM,34,0.0,48,260,89.6,166,166,3,6,0.13,0.05,19,5,1,1,154,6.3,166.9,16.2
12759,Charminar Express,BZA,OGL,18,-0.5,27,140,75.2,134,134,3,3,0.59,0.42,11,3,0,0,126,3.0,150.5,24.5
12759,Charminar Express,SC,KZJ,5,0.0,10,130,60.8,129,129,3,4,0.32,0.36,17,0,0,1,118,5.3,135.3,19.6
12951,Mumbai Rajdhani,ST,BRC,9,1.0,13,130,78.6,122,122,2,3,0.92,0.79,14,0,0,0,110,5.3,144.7,38.0
12626,Kerala Express,NGP,BZA,32,2.5,43,176,101.0,109,111,3,4,0.3,0.4,3,1,0,0,102,4.1,112.0,11.1
12626,Kerala Express,BZA,MAS,7,5.0,5,430,108.3,263,264,10,13,0.71,0.38,2,2,0,0,255,14.7,264.7,14.4
12701,Rajdhani Express,VGLJ,BPL,14,-0.5,18,290,91.8,189,190,8,7,0.64,0.15,4,6,1,0,185,8.0,202.0,17.0
12626,Kerala Express,NDLS,AGC,0,0.0,0,195,81.4,135,135,5,6,0.9,0.72,22,1,0,0,132,9.6,158.4,31.0
12626,Kerala Express,NGP,BZA,16,-0.5,22,132,90.7,96,96,10,3,0.23,0.53,5,4,0,0,85,10.0,96.3,11.3
12626,Kerala Express,NDLS,AGC,0,-1.5,0,195,58.9,180,180,10,5,0.13,0.71,18,3,0,1,170,10.0,192.5,22.5
12759,Charminar Express,BZA,OGL,0,0.0,1,140,88.0,94,93,8,4,0.51,0.16,1,1,0,0,83,9.3,101.3,19.6
12759,Charminar Express,NLR,MAS,0,1.0,15,175,86.3,113,114,5,5,0.37,0.37,11,4,0,0,107,6.5,118.1,12.6
12702,Telangana Express,KZJ,BPQ,33,2.5,45,235,62.7,214,215,8,7,0.59,0.25,5,6,1,0,210,8.9,242.4,33.3
12626,Kerala Express,SBC,ERS,26,1.0,21,580,113.2,335,335,8,13,0.28,0.28,16,3,0,0,333,8.3,336.6,3.9
12951,Mumbai Rajdhani,KTA,AGC,4,0.0,10,468,101.4,302,300,5,11,0.72,0.61,13,1,0,0,295,10.8,307.8,18.6
12626,Kerala Express,BPL,NGP,7,1.0,10,390,86.2,264,262,2,9,0.63,0.49,17,2,0,1,260,3.7,285.5,27.2
12951,Mumbai Rajdhani,BRC,RTM,9,0.0,19,260,80.1,180,181,5,7,0.14,0.11,16,3,0,0,173,5.0,183.8,10.8
12626,Kerala Express,SBC,ERS,10,-0.5,8,580,100.6,388,388,10,18,0.62,0.67,10,1,0,0,377,10.0,392.5,15.5
12626,Kerala Express,SBC,ERS,0,0.0,11,580,84.5,397,395,8,13,0.6,0.64,21,0,0,0,385,8.0,410.0,25.0
12626,Kerala Express,SBC,ERS,0,2.5,7,580,111.6,329,328,10,20,0.63,0.5,18,3,0,1,321,12.5,338.3,19.8
12702,Telangana Express,HYB,SC,24,0.0,23,10,103.7,17,18,2,1,0.27,0.4,13,1,0,0,6,2.0,18.7,12.7
12701,Rajdhani Express,VGLJ,BPL,12,1.0,27,290,71.3,244,244,5,7,0.49,0.43,12,2,0,0,234,5.9,257.2,24.1
12759,Charminar Express,OGL,NLR,2,0.0,3,115,66.1,101,102,3,4,0.28,0.56,9,6,1,1,94,7.1,114.4,24.5
12759,Charminar Express,OGL,NLR,4,5.0,10,115,75.9,91,91,2,4,0.76,0.12,12,6,1,0,89,7.9,105.2,22.1
12701,Rajdhani Express,BPQ,KZJ,0,-0.5,0,235,100.2,160,159,8,6,0.22,0.49,8,4,0,1,149,8.5,155.5,7.0
12702,Telangana Express,HYB,SC,0,-0.5,8,10,92.0,8,10,3,1,0.19,0.62,13,2,0,0,6,3.0,16.1,10.1
12702,Telangana Express,VGLJ,AGC,6,5.0,11,215,97.1,132,134,8,7,0.15,0.61,9,2,0,1,120,8.0,134.3,14.3
12702,Telangana Express,HYB,SC,59,2.5,73,10,69.7,13,11,3,1,0.9,0.77,12,6,1,0,7,6.8,39.0,35.8
12626,Kerala Express,AGC,VGLJ,0,0.0,5,215,85.0,173,172,10,6,0.33,0.65,4,6,1,0,166,12.3,182.9,19.2
12951,Mumbai Rajdhani,AGC,NDLS,11,-0.5,21,195,102.1,128,129,2,5,0.25,0.68,18,5,1,1,120,4.1,130.4,12.5
12626,Kerala Express,BZA,MAS,3,0.0,2,430,71.6,317,317,2,17,0.43,0.36,10,1,0,0,311,3.3,333.6,23.9
12759,Charminar Express,OGL,NLR,0,0.0,8,115,93.1,86,89,5,4,0.36,0.32,1,5,1,0,76,5.0,88.3,12.3
12759,Charminar Express,NLR,MAS,0,0.0,2,175,84.3,120,123,5,6,0.74,0.48,4,3,0,0,112,9.2,129.8,22.0
12951,Mumbai Rajdhani,KTA,AGC,3,-0.5,12,468,102.0,286,284,3,14,0.7,0.06,2,4,0,0,275,3.3,288.9,14.2
12701,Rajdhani Express,BPL,NGP,1,0.0,3,390,87.2,272,273,3,13,0.6,0.07,3,5,1,0,262,6.4,279.6,21.0
12701,Rajdhani Express,SC,HYB,7,0.0,13,10,87.1,9,12,8,1,0.12,0.2,21,6,1,0,7,8.9,14.4,8.3
12702,Telangana Express,SC,KZJ,28,5.0,34,130,70.6,105,108,2,5,0.45,0.62,2,3,0,0,93,2.3,122.1,29.4
12951,Mumbai Rajdhani,BRC,RTM,46,-0.5,49,260,87.3,187,189,8,7,0.66,0.28,21,6,1,0,183,9.0,206.9,24.9
12951,Mumbai Rajdhani,KTA,AGC,11,1.0,23,468,101.7,292,291,3,12,0.56,0.43,9,3,0,1,287,3.6,303.4,17.0
12951,Mumbai Rajdhani,BRC,RTM,0,-0.5,0,260,78.9,205,203,2,6,0.86,0.19,19,6,1,1,202,5.6,225.1,26.7
12951,Mumbai Rajdhani,KTA,AGC,16,0.0,16,468,82.8,295,297,2,13,0.74,0.62,14,1,0,0,291,6.7,324.7,38.4
12702,Telangana Express,BPL,VGLJ,5,1.0,5,290,98.8,200,203,5,10,0.36,0.05,21,4,0,0,189,5.0,189.8,0.8
12702,Telangana Express,VGLJ,AGC,7,0.0,21,215,89.1,152,154,5,6,0.45,0.24,16,2,0,0,148,8.7,161.4,17.1
12951,Mumbai Rajdhani,ST,BRC,1,2.5,12,130,86.4,104,104,3,3,0.57,0.11,17,3,0,1,99,3.0,116.0,17.0
12702,Telangana Express,BPL,VGLJ,39,0.0,51,290,55.9,265,263,8,10,0.33,0.54,23,6,1,0,254,10.9,289.0,37.9
12701,Rajdhani Express,BPL,NGP,0,1.0,0,390,81.7,259,262,10,9,0.11,0.75,10,2,0,0,256,14.6,278.4,27.0
12951,Mumbai Rajdhani,ST,BRC,36,1.0,39,130,83.2,91,91,3,4,0.5,0.52,10,6,1,0,85,3.0,106.0,21.0
12759,Charminar Express,OGL,NLR,1,1.0,11,115,79.0,84,82,8,4,0.14,0.69,6,2,0,0,80,8.5,94.6,15.1
12759,Charminar Express,OGL,NLR,22,2.5,23,115,81.0,88,88,8,3,0.31,0.44,7,3,0,1,76,8.4,97.6,22.0
12759,Charminar Express,BZA,OGL,0,1.0,4,140,97.2,99,102,8,5,0.56,0.15,11,1,0,0,89,8.0,99.5,10.5
12701,Rajdhani Express,NDLS,AGC,25,-0.5,35,195,102.8,118,118,2,7,0.23,0.17,20,1,0,1,109,2.0,120.0,11.0
12701,Rajdhani Express,SC,HYB,19,0.0,25,10,82.2,17,20,2,1,0.56,0.23,0,4,0,0,7,6.0,22.7,19.7
12951,Mumbai Rajdhani,ST,BRC,1,0.0,0,130,96.1,80,81,10,3,0.33,0.32,16,2,0,0,73,13.4,76.2,6.6
12951,Mumbai Rajdhani,KTA,AGC,7,2.5,8,468,115.3,264,265,3,10,0.65,0.03,2,5,1,0,256,3.0,263.9,7.9
12951,Mumbai Rajdhani,KTA,AGC,9,0.0,18,468,54.6,419,421,2,12,0.58,0.69,13,5,1,0,416,4.3,473.6,59.9
12701,Rajdhani Express,BPL,NGP,17,2.5,22,390,91.7,224,223,10,9,0.86,0.45,2,5,1,0,222,15.7,245.6,29.3
12759,Charminar Express,HYB,SC,11,0.0,25,10,83.9,17,17,8,1,0.82,0.54,18,1,0,1,7,10.9,33.2,29.1
12702,Telangana Express,SC,KZJ,45,2.5,41,130,94.5,86,84,5,4,0.62,0.48,2,2,0,0,79,6.0,100.1,22.1
12759,Charminar Express,BZA,OGL,71,1.0,85,140,71.1,117,120,10,4,0.17,0.49,21,4,0,0,112,12.8,137.8,28.6
12701,Rajdhani Express,AGC,VGLJ,12,0.0,22,215,64.9,185,183,3,9,0.36,0.29,3,0,0,0,179,3.6,200.8,22.4
12702,Telangana Express,SC,KZJ,25,-1.5,31,130,79.6,99,100,10,4,0.18,0.48,0,0,0,0,92,10.0,102.8,10.8
12701,Rajdhani Express,NGP,BPQ,10,2.5,19,210,81.4,159,159,2,6,0.68,0.14,7,4,0,1,153,2.0,168.7,15.7
12759,Charminar Express,BZA,OGL,20,0.0,21,140,60.3,135,137,8,5,0.31,0.5,2,2,0,0,124,8.0,145.9,21.9
12702,Telangana Express,AGC,NDLS,0,-0.5,14,195,64.4,177,179,2,5,0.38,0.27,19,3,0,1,165,3.1,174.9,11.0
12702,Telangana Express,NGP,BPL,40,0.0,45,390,81.6,265,264,3,13,0.69,0.39,12,2,0,0,254,5.9,290.3,39.2
